gene	ncbi_gene_id	protein_id	uniprot_id	ncbi_description	annotation	pfam
MYCTH_2302100	ncbi-geneid:11510842	XP_003662037	up:G2QB00	hypothetical protein	Domain of Kin17 curved DNA-binding protein	Kin17_mid,zf-C2H2_jaz,zf-met
MYCTH_2302102	ncbi-geneid:11510843	XP_003662038	up:G2QB01	hypothetical protein	ACT domain	AA_kinase,ACT,ACT_7
MYCTH_2302105	ncbi-geneid:11510844	XP_003662039	up:G2QB02	hypothetical protein	ABC transporter(MDL1)	ABC_membrane,ABC_tran
MYCTH_2302106	ncbi-geneid:11510845	XP_003662040	up:G2QB03	hypothetical protein	RPR(RTT103)	CTD_bind
MYCTH_2302111	ncbi-geneid:11510847	XP_003662042	up:G2QB05	hypothetical protein	Belongs to the syntaxin family(tlg2)	SNARE,Syntaxin
MYCTH_2302119	ncbi-geneid:11510849	XP_003662044	up:G2QB60	hypothetical protein	Adaptin N terminal region(APL4)	Adaptin_N,Alpha_adaptinC2
MYCTH_2302122	ncbi-geneid:11510850	XP_003662045	up:G2QB61	hypothetical protein	Pfam:DUF947(RRP36)	RRP36
MYCTH_2302123	ncbi-geneid:11510851	XP_003662046	up:G2QB62	hypothetical protein	ABC1 family	ABC1
MYCTH_2302128	ncbi-geneid:11510854	XP_003662049	up:G2QB65	hypothetical protein	Involved in the initiation of assembly of the COPII coat required for the formation of transport vesicles from the endoplasmic reticulum (ER) and the selection of cargo molecules. Also involved in autophagy(SEC16)	Sec16,Sec16_C,Sec16_N
MYCTH_2302129	ncbi-geneid:11510855	XP_003662050	up:G2QB66	hypothetical protein	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily(NEO1)	Cation_ATPase,E1-E2_ATPase,Hydrolase,PhoLip_ATPase_C,PhoLip_ATPase_N
MYCTH_2302132	ncbi-geneid:11510857	XP_003662052	up:G2QB68	hypothetical protein	Saccharomyces cerevisiae YML050w(AIM32)	Suc_Fer-like
MYCTH_2302133	ncbi-geneid:11510858	XP_003662053	up:G2QB69	hypothetical protein	Belongs to the class-I aminoacyl-tRNA synthetase family	Anticodon_1,Suc_Fer-like,tRNA-synt_1,tRNA-synt_1_2
MYCTH_2302135	ncbi-geneid:11510859	XP_003662054	up:G2QB70	hypothetical protein	Amino acid permease	AA_permease_2
MYCTH_2302139	ncbi-geneid:11510861	XP_003662056	up:G2QB72	hypothetical protein	Protein of unknown function (DUF3684)	DUF3684,HATPase_c_3
MYCTH_2302140	ncbi-geneid:11510862	XP_003662057	up:G2QB73	hypothetical protein	Kinase phosphorylation protein	MMtag
MYCTH_2302141	ncbi-geneid:11510863	XP_003662058	up:G2QB74	hypothetical protein	MED6 mediator sub complex component(MED6)	Med6
MYCTH_2302143	ncbi-geneid:11510866	XP_003662061	up:G2QB77	hypothetical protein	Belongs to the universal ribosomal protein uL15 family(RPL28)	Ribosomal_L27A
MYCTH_2302145	ncbi-geneid:11510867	XP_003662062	up:G2QB78	hypothetical protein	phosphatase(CNA1)	Metallophos
MYCTH_2302150	ncbi-geneid:11510868	XP_003662063	up:G2QB79	hypothetical protein	Enoyl-(Acyl carrier protein) reductase(SOU1)	adh_short_C2
MYCTH_2302160	ncbi-geneid:11510870	XP_003662065	up:G2QB81	hypothetical protein	emp24/gp25L/p24 family/GOLD	EMP24_GP25L
MYCTH_2302174	ncbi-geneid:11510873	XP_003662068	up:G2QB84	hypothetical protein	Tim17/Tim22/Tim23/Pmp24 family(TIM22)	Tim17
MYCTH_2302176	ncbi-geneid:11510874	XP_003662069	up:G2QB85	hypothetical protein	Belongs to the peptidase C19 family(UBP15)	MATH,UCH,USP7_C2,USP7_ICP0_bdg
MYCTH_2302183	ncbi-geneid:11510875	XP_003662070	up:G2QB86	hypothetical protein	Mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase(PKP2)	BCDHK_Adom3,HATPase_c
MYCTH_2302186	ncbi-geneid:11510876	XP_003662071	up:G2QB87	hypothetical protein	Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin- like GTPase superfamily. Septin GTPase family(spn4)	Septin
MYCTH_2302188	ncbi-geneid:11510877	XP_003662072	up:G2QB88	hypothetical protein	Dip2/Utp12 Family(PWP2)	Utp12,WD40
MYCTH_2302191	ncbi-geneid:11510878	XP_003662073	up:G2QB89	hypothetical protein	Protein of unknown function (DUF4243)	DUF4243
MYCTH_2302198	ncbi-geneid:11510879	XP_003662074	up:G2QB90	hypothetical protein	Inositol polyphosphate phosphatase, catalytic domain homologues	Exo_endo_phos
MYCTH_2302201	ncbi-geneid:11510880	XP_003662075	up:G2QB91	hypothetical protein	Domain of unknown function (DUF4748)	DUF4748
MYCTH_2302206	ncbi-geneid:11510882	XP_003662077	up:G2QB93	hypothetical protein	The B regulatory subunit might modulate substrate selectivity and catalytic activity, and also might direct the localization of the catalytic enzyme to a particular subcellular compartment(RTS1)	B56
MYCTH_2302212	ncbi-geneid:11510883	XP_003662078	up:G2QB94	hypothetical protein	RNA polymerase III transcription factor (TF)IIIC subunit(TFC1)	Tau95
MYCTH_2302213	ncbi-geneid:11510884	XP_003662079	up:G2QB95	hypothetical protein	Belongs to the AAA ATPase family	AAA,BCS1_N
MYCTH_2302215	ncbi-geneid:11510886	XP_003662081	up:G2QB97	hypothetical protein	Asparaginase	Ank_2,Asparaginase
MYCTH_2302217	ncbi-geneid:11510887	XP_003662082	up:G2QB98	hypothetical protein	Belongs to the nucleosome assembly protein (NAP) family	NAP
MYCTH_2302225	ncbi-geneid:11510889	XP_003662084	up:G2QBA0	hypothetical protein	Dak2(dak1)	Dak1,Dak2
MYCTH_2302228	ncbi-geneid:11510890	XP_003662085	up:G2QBA1	hypothetical protein	Belongs to the enoyl-CoA hydratase isomerase family(EHD3)	ECH_2
MYCTH_2302231	ncbi-geneid:11510892	XP_003662087	up:G2QBA3	hypothetical protein	-	-
MYCTH_2302235	ncbi-geneid:11510895	XP_003662090	up:G2QBA6	hypothetical protein	-	-
MYCTH_2302238	ncbi-geneid:11510896	XP_003662091	up:G2QBA7	hypothetical protein	CobW/HypB/UreG, nucleotide-binding domain	cobW
MYCTH_2302240	ncbi-geneid:11510897	XP_003662092	up:G2QBA8	hypothetical protein	Solute carrier family 12	AA_permease,SLC12
MYCTH_2302243	ncbi-geneid:11510898	XP_003662093	up:G2QBA9	hypothetical protein	Transmembrane amino acid transporter protein	Aa_trans
MYCTH_2302244	ncbi-geneid:11510899	XP_003662094	up:G2QBB0	hypothetical protein	RNA polymerase Rpb3/Rpb11 dimerisation domain(RPB11)	RNA_pol_L_2
MYCTH_2302246	ncbi-geneid:11510900	XP_003662095	up:G2QBB1	hypothetical protein	u6 snrna-associated sm-like protein lsm5	LSM
MYCTH_2302247	ncbi-geneid:11510901	XP_003662096	up:G2QBB2	hypothetical protein	3'-5' exonuclease	DNA_pol_A_exo1
MYCTH_2302248	ncbi-geneid:11510902	XP_003662097	up:G2Q7D9	hypothetical protein	Component of the NOP7 complex, which is required for maturation of the 25S and 5.8S ribosomal RNAs and formation of the 60S ribosome(YTM1)	NLE,WD40
MYCTH_2302249	ncbi-geneid:11512519	XP_003662098	up:G2Q7E0	hypothetical protein	DNA polymerase alpha/epsilon subunit B(cdc1)	DNA_pol_E_B
MYCTH_2302251	ncbi-geneid:11510904	XP_003662099	up:G2Q7E1	hypothetical protein	-	-
MYCTH_2302253	ncbi-geneid:11510905	XP_003662100	up:G2Q7E2	hypothetical protein	Pyridoxal-phosphate dependent enzyme(CHA1)	PALP
MYCTH_2302257	ncbi-geneid:11510907	XP_003662102	up:G2Q7E4	hypothetical protein	Belongs to the class-I aminoacyl-tRNA synthetase family(MSM1)	Acetyltransf_3,tRNA-synt_1g
MYCTH_2302259	ncbi-geneid:11510908	XP_003662103	up:G2Q7E5	hypothetical protein	-	-
MYCTH_2302265	ncbi-geneid:11510910	XP_003662105	up:G2Q7E7	hypothetical protein	Protein tyrosine kinase	Pkinase
MYCTH_2302271	ncbi-geneid:11510911	XP_003662106	up:G2Q7E8	hypothetical protein	60S ribosomal protein(RPL4B)	Ribos_L4_asso_C,Ribosomal_L4
MYCTH_2302273	ncbi-geneid:11510912	XP_003662107	up:G2Q7E9	hypothetical protein	Pfam:DUF3812(EIS1)	Eisosome1
MYCTH_2302276	ncbi-geneid:11510913	XP_003662108	up:G2Q7F0	hypothetical protein	Frag1/DRAM/Sfk1 family	Frag1
MYCTH_2302277	ncbi-geneid:11510914	XP_003662109	up:G2Q7F1	hypothetical protein	Belongs to the protein kinase superfamily(KIN28)	Pkinase
MYCTH_2302278	ncbi-geneid:11510915	XP_003662110	up:G2Q7F2	hypothetical protein	Exocyst complex component Sec10(RCY1)	F-box,F-box-like,Sec10
MYCTH_2302283	ncbi-geneid:11512166	XP_003662113	up:G2Q7F5	hypothetical protein	IGR(FYV4)	IGR
MYCTH_2302286	ncbi-geneid:11512167	XP_003662114	up:G2Q7F6	hypothetical protein	-	-
MYCTH_2302289	ncbi-geneid:11512168	XP_003662115	up:G2Q7F7	glycoside hydrolase family 63 protein	Glycoside hydrolase family 63 protein(CWH41)	Glyco_hydro_63,Glyco_hydro_63N
MYCTH_2302291	ncbi-geneid:11512169	XP_003662116	up:G2Q7F8	hypothetical protein	Domain in Tre-2, BUB2p, and Cdc16p. Probable Rab-GAPs.(GYP7)	DUF3548,RabGAP-TBC
MYCTH_2302294	ncbi-geneid:11512170	XP_003662117	up:G2Q7F9	hypothetical protein	Sec1-binding region of Mso1	Mso1_Sec1_bdg
MYCTH_2302295	ncbi-geneid:11512171	XP_003662118	up:G2Q7G0	hypothetical protein	Belongs to the MAK16 family(mak16)	Mak16,Ribosomal_L28e
MYCTH_2302298	ncbi-geneid:11512172	XP_003662119	up:G2Q7G1	hypothetical protein	MnmE helical domain(MSS1)	MMR_HSR1,MnmE_helical,TrmE_N
MYCTH_2302300	ncbi-geneid:11512173	XP_003662120	up:G2Q7G2	hypothetical protein	-	-
MYCTH_2302305	ncbi-geneid:11512174	XP_003662121	up:G2Q7G3	hypothetical protein	Temperature dependent protein affecting M2 dsRNA replication	MKT1_C,MKT1_N,XPG_I,XPG_N
MYCTH_2302310	ncbi-geneid:11512176	XP_003662123	up:G2Q7G5	hypothetical protein	-	-
MYCTH_2302317	ncbi-geneid:11512179	XP_003662126	up:G2Q7G8	hypothetical protein	-	-
MYCTH_2302318	ncbi-geneid:11512180	XP_003662127	up:G2Q7G9	hypothetical protein	DWNN(MPE1)	DWNN,U-box,zf-CCHC_2
MYCTH_2302321	ncbi-geneid:11512182	XP_003662129	up:G2Q7H1	hypothetical protein	Belongs to the peptidase S10 family	Peptidase_S10
MYCTH_2302323	ncbi-geneid:11512183	XP_003662130	up:G2Q7H2	hypothetical protein	PCRF(MRF1)	PCRF,RF-1
MYCTH_2302336	ncbi-geneid:11512185	XP_003662132	up:G2Q7H4	hypothetical protein	Gamma-glutamyltranspeptidase	G_glu_transpept
MYCTH_2302339	ncbi-geneid:11512188	XP_003662135	up:G2Q7H7	hypothetical protein	CoA-transferase family III	CoA_transf_3
MYCTH_2302341	ncbi-geneid:11512189	XP_003662136	up:G2Q7H8	hypothetical protein	Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family(VPS1)	Dynamin_M,Dynamin_N,GED
MYCTH_2302350	ncbi-geneid:11512191	XP_003662138	up:G2Q7I0	hypothetical protein	-	-
MYCTH_2302354	ncbi-geneid:11512192	XP_003662139	up:G2Q7I1	hypothetical protein	CAS/CSE protein, C-terminus(CSE1)	CAS_CSE1,Cse1,IBN_N
MYCTH_2302356	ncbi-geneid:11512193	XP_003662140	up:G2Q7I2	hypothetical protein	Tuberin(TSC2)	DUF3384,Rap_GAP,Tuberin
MYCTH_2302360	ncbi-geneid:11512194	XP_003662141	up:G2Q7I3	hypothetical protein	Acetyltransferase (GNAT) family	Acetyltransf_1
MYCTH_2302369	ncbi-geneid:11512197	XP_003662144	up:G2Q7I6	hypothetical protein	Transglutaminase-like superfamily	SH3_1,SH3_2,Transglut_core
MYCTH_2302374	ncbi-geneid:11512200	XP_003662147	up:G2Q7I9	hypothetical protein	Sec8 exocyst complex component specific domain(SEC8)	Sec8_exocyst
MYCTH_2302376	ncbi-geneid:11512201	XP_003662148	up:G2Q7J0	hypothetical protein	SMI1 / KNR4 family(SMI1)	SMI1_KNR4
MYCTH_2302383	ncbi-geneid:11512203	XP_003662150	up:G2Q7P6	hypothetical protein	Belongs to the protein kinase superfamily(gsk3)	Pkinase
MYCTH_2302387	ncbi-geneid:11512204	XP_003662151	up:G2Q7P7	hypothetical protein	MIF4G like(cbc1)	MIF4G,MIF4G_like,MIF4G_like_2
MYCTH_2302391	ncbi-geneid:11512205	XP_003662152	up:G2Q7P8	hypothetical protein	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)(sap49)	RRM_1
MYCTH_2302393	ncbi-geneid:11512207	XP_003662154	up:G2Q7Q0	hypothetical protein	Belongs to the mitochondrial carrier (TC 2.A.29) family(FLX1)	Mito_carr
MYCTH_2302405	ncbi-geneid:11512209	XP_003662156	up:G2Q7Q2	hypothetical protein	Acts as a sulfur carrier required for 2-thiolation of mcm(5)S(2)U at tRNA wobble positions of cytosolic tRNA(Lys), tRNA(Glu) and tRNA(Gln). Serves as sulfur donor in tRNA 2- thiolation reaction by being thiocarboxylated (-COSH) at its C- terminus by the MOCS3 homolog UBA4. The sulfur is then transferred to tRNA to form 2-thiolation of mcm(5)S(2)U. Prior mcm(5) tRNA modification by the elongator complex is required for 2- thiolation. Also acts as a ubiquitin-like protein (UBL) that is covalently conjugated via an isopeptide bond to lysine residues of target proteins such as AHP1. The thiocarboxylated form serves as substrate for conjugation and oxidative stress specifically induces the formation of UBL-protein conjugates(URM1)	Urm1
MYCTH_2302420	ncbi-geneid:11512214	XP_003662161	up:G2Q7Q7	hypothetical protein	Mitochondrial 54S ribosomal protein YmL7 YmL5(mrpl7)	Ribosomal_L5,Ribosomal_L5_C
MYCTH_2302422	ncbi-geneid:11512215	XP_003662162	up:G2Q7Q8	hypothetical protein	Ferrous iron transport protein B	MMR_HSR1
MYCTH_2302424	ncbi-geneid:11512216	XP_003662163	up:G2Q7Q9	hypothetical protein	Low temperature viability protein(LTV1)	LTV
MYCTH_2302426	ncbi-geneid:11512217	XP_003662164	up:G2Q7R0	hypothetical protein	Aminotransferase class I and II	Aminotran_1_2
MYCTH_2302431	ncbi-geneid:11512219	XP_003662166	up:G2Q7R2	hypothetical protein	chromatin binding	POT1
MYCTH_2302433	ncbi-geneid:11512220	XP_003662167	up:G2Q7R3	hypothetical protein	Malic enzyme, NAD binding domain	Malic_M,malic
MYCTH_2302437	ncbi-geneid:11512221	XP_003662168	up:G2Q7R4	hypothetical protein	Malic enzyme, NAD binding domain	Malic_M,malic
MYCTH_2302439	ncbi-geneid:11512222	XP_003662169	up:G2Q7R5	hypothetical protein	DNA repair protein(RAD7)	LRR_6
MYCTH_2302441	ncbi-geneid:11512223	XP_003662170	up:G2Q7R6	hypothetical protein	Zinc finger, C3HC4 type (RING finger)(RAD16)	Helicase_C,SNF2_N,zf-C3HC4
MYCTH_2302442	ncbi-geneid:11512224	XP_003662171	up:G2Q7R7	hypothetical protein	Domain of unknown function (DUF5127)	DUF1793,DUF4964,DUF4965,DUF5127
MYCTH_2302447	ncbi-geneid:11512226	XP_003662173	up:G2Q7R9	hypothetical protein	ABC transporter transmembrane region(YOR1)	ABC_membrane,ABC_tran
MYCTH_2302452	ncbi-geneid:11512227	XP_003662174	up:G2Q7S0	hypothetical protein	-	-
MYCTH_2302460	ncbi-geneid:11512229	XP_003662176	up:G2Q7S2	hypothetical protein	NmrA-like family	NmrA
MYCTH_2302465	ncbi-geneid:11512231	XP_003662178	up:G2Q7S4	hypothetical protein	Exosome component EXOSC1/CSL4(CSL4)	ECR1_N,EXOSC1
MYCTH_2302466	ncbi-geneid:11512232	XP_003662179	up:G2Q7S5	hypothetical protein	GDP/GTP exchange factor Sec2p	Sec2p
MYCTH_2302467	ncbi-geneid:11512233	XP_003662180	up:G2Q7S6	hypothetical protein	TruB family pseudouridylate synthase (N terminal domain)(PUS4)	TruB_C_2,TruB_N
MYCTH_2302469	ncbi-geneid:11512234	XP_003662181	up:G2Q7S7	hypothetical protein	-	DNMT1-RFD
MYCTH_2302476	ncbi-geneid:11512518	XP_003662183	up:G2Q7S9	hypothetical protein	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family	DUF3694,FHA,KIF1B,Kinesin,Kinesin_assoc,PH
MYCTH_2302478	ncbi-geneid:11512237	XP_003662184	up:G2Q7T0	hypothetical protein	Leukotriene A(4) hydrolase(LAP2)	Leuk-A4-hydro_C,Peptidase_M1
MYCTH_2302485	ncbi-geneid:11512238	XP_003662185	up:G2QPL3	hypothetical protein	-	-
MYCTH_2302494	ncbi-geneid:11512239	XP_003662186	up:G2Q7T2	hypothetical protein	Up-regulated During Septation	Uds1
MYCTH_2302496	ncbi-geneid:11512241	XP_003662188	up:G2Q7T4	hypothetical protein	Carbon-nitrogen hydrolase(NIT3)	CN_hydrolase
MYCTH_2302498	ncbi-geneid:11512242	XP_003662189	up:G2Q7T5	hypothetical protein	Belongs to the spermidine spermine synthase family(SPE3)	Spermine_synt_N,Spermine_synth
MYCTH_2302506	ncbi-geneid:11512243	XP_003662190	up:G2Q7T6	hypothetical protein	G protein alpha subunit	G-alpha
MYCTH_2302509	ncbi-geneid:11512244	XP_003662191	up:G2Q7T7	glycoside hydrolase family 3 protein	Glycoside hydrolase family 3 protein	Fn3-like,Glyco_hydro_3,Glyco_hydro_3_C
MYCTH_2302511	ncbi-geneid:11512514	XP_003662193	up:G2Q7T9	hypothetical protein	Glutamine amidotransferases class-II(ADE4)	GATase_6,Pribosyltran
MYCTH_2302517	ncbi-geneid:11512247	XP_003662194	up:G2Q7U0	glycoside hydrolase family 37 protein	Alpha-trehalose glucohydrolase(NTH1)	Trehalase,Trehalase_Ca-bi
MYCTH_2302520	ncbi-geneid:11512248	XP_003662195	up:G2Q7U1	hypothetical protein	Protein of unknown function (DUF3405)	DUF3405
MYCTH_2302526	ncbi-geneid:11512250	XP_003662197	up:G2Q7U3	hypothetical protein	POT family	PTR2
MYCTH_2302529	ncbi-geneid:11512252	XP_003662199	up:G2Q7U5	hypothetical protein	-	-
MYCTH_2302538	ncbi-geneid:11512256	XP_003662203	up:G2Q801	hypothetical protein	Glycosyl transferase family group 2	Glyco_trans_2_3
MYCTH_2302541	ncbi-geneid:11512257	XP_003662204	up:G2Q802	hypothetical protein	Acyl-CoA dehydrogenase, middle domain	Acyl-CoA_dh_1,Acyl-CoA_dh_M
MYCTH_2302542	ncbi-geneid:11512258	XP_003662205	up:G2Q803	hypothetical protein	Helicase-associated putative binding domain, C-terminal	Helicase_C,SNF2_N,VIGSSK
MYCTH_2302552	ncbi-geneid:11512261	XP_003662208	up:G2Q806	hypothetical protein	cytochrome P450	p450
MYCTH_2302555	ncbi-geneid:11512262	XP_003662209	up:G2Q807	hypothetical protein	-	-
MYCTH_2302556	ncbi-geneid:11512263	XP_003662210	up:G2Q808	hypothetical protein	Phytanoyl-CoA dioxygenase (PhyH)	PhyH
MYCTH_2302558	ncbi-geneid:11512264	XP_003662211	up:G2Q809	hypothetical protein	Pfam:RRM_6	RRM_1
MYCTH_2302563	ncbi-geneid:11512266	XP_003662213	up:G2Q811	hypothetical protein	Domain in Tre-2, BUB2p, and Cdc16p. Probable Rab-GAPs.(GYP1)	RabGAP-TBC
MYCTH_2302569	ncbi-geneid:11512268	XP_003662215	up:G2Q813	hypothetical protein	Flavoprotein	Flavoprotein
MYCTH_2302571	ncbi-geneid:11512269	XP_003662216	up:G2Q814	hypothetical protein	C-x8-c-x5-c-x3-h type zinc finger protein	zf-CCCH
MYCTH_2302578	ncbi-geneid:11512270	XP_003662217	up:G2Q815	hypothetical protein	Belongs to the STXBP unc-18 SEC1 family(SLY1)	Sec1
MYCTH_2302583	ncbi-geneid:11512271	XP_003662218	up:G2Q816	glycosyltransferase family 2 protein	Chitin synthase(CHS2)	Chitin_synth_1,Chitin_synth_1N
MYCTH_2302591	ncbi-geneid:11512273	XP_003662220	up:G2Q818	actin2-like protein	Belongs to the actin family(ARP1)	Actin
MYCTH_2302605	ncbi-geneid:11512277	XP_003662224	up:G2Q822	hypothetical protein	-	-
MYCTH_2302609	ncbi-geneid:11512279	XP_003662226	up:G2Q824	hypothetical protein	Forkhead associated domain	FHA
MYCTH_2302619	ncbi-geneid:11512282	XP_003662229	up:G2Q827	hypothetical protein	-	-
MYCTH_2302623	ncbi-geneid:11512284	XP_003662231	up:G2Q829	hypothetical protein	Belongs to the aconitase IPM isomerase family(ACO2)	Aconitase,Aconitase_C
MYCTH_2302625	ncbi-geneid:11512285	XP_003662232	up:G2Q830	hypothetical protein	Rad52/22 family double-strand break repair protein(RAD52)	Rad52_Rad22
MYCTH_2302626	ncbi-geneid:11512286	XP_003662233	up:G2Q831	hypothetical protein	Involved in ubiquitin-mediated protein degradation. Regulatory factor in the ubiquitin proteasome pathway that controls the turnover of proteasome substrates. Targets proteasomes to the nucleus and facilitates the degradation of nuclear proteins(STS1)	Cut8
MYCTH_2302628	ncbi-geneid:11512287	XP_003662234	up:G2Q832	hypothetical protein	Pfam:RRM_6(NOP13)	RRM_1
MYCTH_2302632	ncbi-geneid:11512288	XP_003662235	up:G2Q833	hypothetical protein	Ig-like domain from next to BRCA1 gene	ATG19_autophagy,N_BRCA1_IG,ZZ
MYCTH_2302633	ncbi-geneid:11512289	XP_003662236	up:G2Q834	hypothetical protein	Uncharacterised protein family UPF0052	UPF0052
MYCTH_2302635	ncbi-geneid:11512290	XP_003662237	up:G2Q835	hypothetical protein	Uncharacterised protein family UPF0052	UPF0052
MYCTH_2302641	ncbi-geneid:11512515	XP_003662239	up:G2Q837	hypothetical protein	Belongs to the peptidase A1 family	Asp
MYCTH_2302644	ncbi-geneid:11512293	XP_003662240	up:G2Q838	hypothetical protein	Amino-transferase class IV(ABZ2)	Aminotran_4
MYCTH_2302646	ncbi-geneid:11512294	XP_003662241	up:G2Q839	hypothetical protein	Tetratricopeptide repeat(TOM70)	TPR_1,TPR_16,TPR_17,TPR_2,TPR_8
MYCTH_2302649	ncbi-geneid:11512295	XP_003662242	up:G2Q840	hypothetical protein	Syntaxin	SNARE,Syntaxin
MYCTH_2302653	ncbi-geneid:11512296	XP_003662243	up:G2Q841	hypothetical protein	Brix(IMP4)	Brix
MYCTH_2302657	ncbi-geneid:11512298	XP_003662245	up:G2Q843	hypothetical protein	AhpC/TSA antioxidant enzyme	AhpC-TSA_2
MYCTH_2302660	ncbi-geneid:11512300	XP_003662247	up:G2Q845	hypothetical protein	Belongs to the class-IV pyridoxal-phosphate-dependent aminotransferase family	Aminotran_4
MYCTH_2302666	ncbi-geneid:11512303	XP_003662250	up:G2Q848	hypothetical protein	Cytidylyltransferase-like(MUQ1)	CTP_transf_like
MYCTH_2302672	ncbi-geneid:11512305	XP_003662252	up:G2Q850	hypothetical protein	Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase	AAT
MYCTH_2302675	ncbi-geneid:11512306	XP_003662253	up:G2Q851	hypothetical protein	Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)	COPIIcoated_ERV,ERGIC_N
MYCTH_2302688	ncbi-geneid:11512310	XP_003662257	up:G2Q8A9	hypothetical protein	2OG-Fe(II) oxygenase superfamily	2OG-FeII_Oxy_3
MYCTH_2302690	ncbi-geneid:11512311	XP_003662258	up:G2Q8B0	hypothetical protein	ABC1 family	ABC1
MYCTH_2302694	ncbi-geneid:11512314	XP_003662261	up:G2Q8B3	hypothetical protein	Kinase-related protein	PRK
MYCTH_2302697	ncbi-geneid:11512315	XP_003662262	up:G2Q8B4	hypothetical protein	-	-
MYCTH_2302698	ncbi-geneid:11512316	XP_003662263	up:G2Q8B5	hypothetical protein	PRELI-like family(UPS2)	PRELI
MYCTH_2302700	ncbi-geneid:11512317	XP_003662264	up:G2Q8B6	hypothetical protein	Cotranslationally removes the N-terminal methionine from nascent proteins. The N-terminal methionine is often cleaved when the second residue in the primary sequence is small and uncharged (Met-Ala-, Cys, Gly, Pro, Ser, Thr, or Val)(MAP2)	Peptidase_M24
MYCTH_2302705	ncbi-geneid:11512319	XP_003662266	up:G2Q8B8	hypothetical protein	Eukaryotic porin(POR1)	Porin_3
MYCTH_2302711	ncbi-geneid:11512320	XP_003662267	up:G2Q8B9	hypothetical protein	Aluminium induced protein(ASN1)	Asn_synthase,GATase_7
MYCTH_2302719	ncbi-geneid:11512321	XP_003662268	up:G2Q8C0	hypothetical protein	Belongs to the ubiquitin-conjugating enzyme family(hus5)	UQ_con
MYCTH_2302721	ncbi-geneid:11512322	XP_003662269	up:G2Q8C1	hypothetical protein	Pex19 protein family(PEX19)	Pex19
MYCTH_2302725	ncbi-geneid:11512323	XP_003662270	up:G2Q8C2	hypothetical protein	-	-
MYCTH_2302726	ncbi-geneid:11512325	XP_003662272	up:G2Q8C4	hypothetical protein	Formyl transferase(FMT1)	Formyl_trans_C,Formyl_trans_N
MYCTH_2302731	ncbi-geneid:11512326	XP_003662273	up:G2Q8C5	hypothetical protein	stf2-like protein	HABP4_PAI-RBP1
MYCTH_2302736	ncbi-geneid:11512327	XP_003662274	up:G2Q8C6	hypothetical protein	Component of the cytosolic iron-sulfur (Fe-S) protein assembly (CIA) machinery. Required for the maturation of extramitochondrial Fe-S proteins. Part of an electron transfer chain functioning in an early step of cytosolic Fe-S biogenesis. Electrons are transferred to the Fe-S cluster from NADPH via the FAD- and FMN-containing protein TAH18. Has anti-apoptotic effects in the cell. Involved in negative control of H(2)O(2)-induced cell death(DRE2)	CIAPIN1,DRE2_N
MYCTH_2302738	ncbi-geneid:11512328	XP_003662275	up:G2Q8C7	hypothetical protein	Belongs to the peptidase S10 family(KEX1)	Peptidase_S10
MYCTH_2302739	ncbi-geneid:11512329	XP_003662276	up:G2Q8C8	hypothetical protein	Catalyzes the conversion of dihydroorotate to orotate with fumarate as the electron acceptor(URA1)	DHO_dh
MYCTH_2302745	ncbi-geneid:11512332	XP_003662279	up:G2Q8D1	hypothetical protein	permease	MFS_1
MYCTH_2302748	ncbi-geneid:11512333	XP_003662280	up:G2Q8D2	hypothetical protein	Major Facilitator Superfamily	MFS_1
MYCTH_2302752	ncbi-geneid:11512334	XP_003662281	up:G2Q8D3	hypothetical protein	Amidohydrolase(URA4)	Amidohydro_1,Amidohydro_2
MYCTH_2302755	ncbi-geneid:11512335	XP_003662282	up:G2Q8D4	hypothetical protein	spindle pole body component(SPC98)	Spc97_Spc98
MYCTH_2302759	ncbi-geneid:11512336	XP_003662283	up:G2Q8D5	hypothetical protein	Transcriptional regulator of RNA polII, SAGA, subunit	SAGA-Tad1
MYCTH_2302763	ncbi-geneid:11512338	XP_003662285	up:G2Q8D7	hypothetical protein	Protein tyrosine kinase(SWE1)	Pkinase
MYCTH_2302765	ncbi-geneid:11512339	XP_003662286	up:G2Q8D8	hypothetical protein	Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors	Med1
MYCTH_2302767	ncbi-geneid:11512340	XP_003662287	up:G2Q8D9	hypothetical protein	chromatin binding	-
MYCTH_2302768	ncbi-geneid:11512341	XP_003662288	up:G2Q8E0	hypothetical protein	cell wall biogenesis protein mhp1(MHP1)	-
